TST_DigIn_1     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_2     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_3     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_4     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_5     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_6     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_7     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigIn_8     ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
VAL_DigIn_1     ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1
VAL_DigIn_2     ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0
VAL_DigIn_3     ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1
VAL_DigIn_4     ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0
VAL_DigIn_5     ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1
VAL_DigIn_6     ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0
VAL_DigIn_7     ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1
VAL_DigIn_8     ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0
TST_DigOut_1    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_2    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_3    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_4    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_5    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_6    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_7    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_8    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_9    ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_10   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_11   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_DigOut_12   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
VAL_DigOut_1    ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 1
VAL_DigOut_2    ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 0
VAL_DigOut_3    ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 1
VAL_DigOut_4    ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 0
VAL_DigOut_5    ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 1
VAL_DigOut_6    ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 0
VAL_DigOut_7    ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 1
VAL_DigOut_8    ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 0
VAL_DigOut_9    ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 1
VAL_DigOut_10   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 0
VAL_DigOut_11   ; 0   ; 0   ; 1   ; 1   ; 0   ; 0   ; 1   ; 1   ; 0   ; 1
VAL_DigOut_12   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 1   ; 0   ; 0
TST_AnIn_1      ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_AnIn_2      ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_AnIn_3      ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
TST_AnIn_4      ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1   ; 1
